	DJIA	CPI	REAL DJIA
Апрель 1961	6,520193938	3,394508394	8,580184741
Май 1961	6,546383608	3,394508394	8,606374411
Июнь 1961	6,527899436	3,394508394	8,587890239
Июль 1961	6,558722488	3,401197382	8,612024303
Август 1961	6,579167875	3,39785848	8,635808591
Сентябрь 1961	6,552807414	3,401197382	8,606109229
Октябрь 1961	6,556664713	3,401197382	8,609966528
Ноябрь 1961	6,581470969	3,401197382	8,634772784
Декабрь 1961	6,59460496	3,401197382	8,647906775
Январь 1962	6,551080335	3,401197382	8,60438215
Февраль 1962	6,562514713	3,404525172	8,612488737
Март 1962	6,560959942	3,404525172	8,610933967
Апрель 1962	6,500283158	3,407841924	8,54694043
Май 1962	6,418952039	3,407841924	8,465609311
Июнь 1962	6,33021989	3,407841924	8,376877162
Июль 1962	6,39347369	3,411147713	8,436825174
Август 1962	6,412113791	3,411147713	8,455465275
Сентябрь 1962	6,361267935	3,414442608	8,401324523
Октябрь 1962	6,37973263	3,414442608	8,419789218
Ноябрь 1962	6,47589486	3,414442608	8,515951448
Декабрь 1962	6,480197924	3,414442608	8,520254512
Январь 1963	6,526275216	3,414442608	8,566331804
Февраль 1963	6,496684488	3,414442608	8,536741076
Март 1963	6,525791831	3,417726684	8,562564344
Апрель 1963	6,576051654	3,417726684	8,612824167
Май 1963	6,588871455	3,417726684	8,625643968
Июнь 1963	6,56086092	3,421000009	8,594360108
Июль 1963	6,544530359	3,424262655	8,574766901
Август 1963	6,592112593	3,424262655	8,622349135
Сентябрь 1963	6,596859167	3,424262655	8,627095709
Октябрь 1963	6,627022339	3,42751469	8,654006845
Ноябрь 1963	6,6207663	3,42751469	8,647750806
Декабрь 1963	6,637192498	3,430756184	8,660935511
Январь 1964	6,666116745	3,430756184	8,689859758
Февраль 1964	6,684786712	3,430756184	8,708529725
Март 1964	6,70108775	3,430756184	8,724830762
Апрель 1964	6,697984413	3,430756184	8,721727426
Май 1964	6,709987034	3,430756184	8,733730047
Июнь 1964	6,723231299	3,433987204	8,743743291
Июль 1964	6,734710559	3,437207819	8,752001936
Август 1964	6,731590729	3,433987204	8,752102721
